id name orbit_date miss_distance_kilometers
3976530 (2020 AM1) 2020-01-01 23884049.19147211
3942362 (2019 YK) 2020-01-01 5390966.393620589
3978225 (2020 AN2) 2020-01-01 3024018.6470264937
3972421 (2020 AX) 2020-01-01 7428459.05953234
3893737 (2019 WE5) 2020-01-01 20137982.751645297
3976578 (2020 AE2) 2020-01-01 35476716.41533804
3591759 (2011 YE40) 2020-01-01 9623911.862060713
3630817 (2013 EC20) 2020-01-01 24236093.67020275
3747497 (2016 EF195) 2020-01-01 41620907.680494376
3564720 (2011 HS60) 2020-01-01 29752373.44231007
